TERMS AND CONDITIONS
http://www.bankofcanada.ca/terms/

SERIES
id,label,description
IEXE0101,"USD_NOON","U.S. dollar (noon)"

OBSERVATIONS
date,IEXE0101
2012-01-02,
2012-01-03,1.0090
2012-01-04,1.0135
2012-01-05,1.0197
2012-01-06,1.0232
2012-01-09,1.0272
2012-01-10,1.0164
2012-01-11,1.0192
2012-01-12,1.0198
2012-01-13,1.0245
2012-01-16,1.0170
2012-01-17,1.0132
2012-01-18,1.0140
2012-01-19,1.0095
2012-01-20,1.0143
2012-01-23,1.0080
2012-01-24,1.0097
2012-01-25,1.0120
2012-01-26,0.9986
2012-01-27,1.0013
2012-01-30,1.0032
2012-01-31,1.0052
2012-02-01,0.9971
2012-02-02,0.9985
2012-02-03,0.9945
2012-02-06,0.9954
2012-02-07,0.9948
2012-02-08,0.9970
2012-02-09,0.9941
2012-02-10,1.0016
2012-02-13,0.9996
2012-02-14,0.9991
2012-02-15,0.9965
2012-02-16,0.9962
2012-02-17,0.9970
2012-02-20,0.9924
2012-02-21,0.9955
2012-02-22,1.0000
2012-02-23,0.9985
2012-02-24,0.9988
2012-02-27,0.9983
2012-02-28,0.9956
2012-02-29,0.9866
2012-03-01,0.9849
2012-03-02,0.9888
2012-03-05,0.9936
2012-03-06,1.0015
2012-03-07,0.9993
2012-03-08,0.9921
2012-03-09,0.9895
2012-03-12,0.9935
2012-03-13,0.9905
2012-03-14,0.9915
2012-03-15,0.9929
2012-03-16,0.9914
2012-03-19,0.9880
2012-03-20,0.9933
2012-03-21,0.9931
2012-03-22,1.0003
2012-03-23,0.9982
2012-03-26,0.9922
2012-03-27,0.9928
2012-03-28,0.9984
2012-03-29,0.9999
2012-03-30,0.9991
2012-04-02,0.9917
2012-04-03,0.9910
2012-04-04,0.9962
2012-04-05,0.9928
2012-04-06,
2012-04-09,0.9972
2012-04-10,1.0028
2012-04-11,1.0039
2012-04-12,0.9950
2012-04-13,0.9979
2012-04-16,1.0024
2012-04-17,0.9878
2012-04-18,0.9902
2012-04-19,0.9927
2012-04-20,0.9911
2012-04-23,0.9936
2012-04-24,0.9883
2012-04-25,0.9848
2012-04-26,0.9841
2012-04-27,0.9807
2012-04-30,0.9884
2012-05-01,0.9839
2012-05-02,0.9891
2012-05-03,0.9868
2012-05-04,0.9956
2012-05-07,0.9935
2012-05-08,0.9997
2012-05-09,1.0015
2012-05-10,1.0017
2012-05-11,0.9968
2012-05-14,1.0019
2012-05-15,1.0029
2012-05-16,1.0102
2012-05-17,1.0164
2012-05-18,1.0210
2012-05-21,
2012-05-22,1.0191
2012-05-23,1.0275
2012-05-24,1.0275
2012-05-25,1.0285
2012-05-28,1.0241
2012-05-29,1.0253
2012-05-30,1.0286
2012-05-31,1.0349
2012-06-01,1.0380
2012-06-04,1.0418
2012-06-05,1.0414
2012-06-06,1.0297
2012-06-07,1.0244
2012-06-08,1.0332
2012-06-11,1.0283
2012-06-12,1.0268
2012-06-13,1.0270
2012-06-14,1.0247
2012-06-15,1.0244
2012-06-18,1.0266
2012-06-19,1.0178
2012-06-20,1.0194
2012-06-21,1.0251
2012-06-22,1.0260
2012-06-25,1.0303
2012-06-26,1.0265
2012-06-27,1.0257
2012-06-28,1.0333
2012-06-29,1.0191
2012-07-02,
2012-07-03,1.0123
2012-07-04,1.0128
2012-07-05,1.0131
2012-07-06,1.0199
2012-07-09,1.0212
2012-07-10,1.0203
