TERMS AND CONDITIONS
http://www.bankofcanada.ca/terms/

SERIES
id,label,description
IEXE0101,"USD_NOON","U.S. dollar (noon)"

OBSERVATIONS
date,IEXE0101
2016-01-01,
2016-01-04,1.3969
2016-01-05,1.3993
2016-01-06,1.4084
2016-01-07,1.4061
2016-01-08,1.4151
2016-01-11,1.4205
2016-01-12,1.4291
2016-01-13,1.4294
2016-01-14,1.4373
2016-01-15,1.4528
2016-01-18,1.4507
2016-01-19,1.4514
2016-01-20,1.4589
2016-01-21,1.4243
2016-01-22,1.4151
2016-01-25,1.4252
2016-01-26,1.4062
2016-01-27,1.4043
2016-01-28,1.4073
2016-01-29,1.4080
2016-02-01,1.4006
2016-02-02,1.4040
2016-02-03,1.3846
2016-02-04,1.3726
2016-02-05,1.3876
2016-02-08,1.3921
2016-02-09,1.3820
2016-02-10,1.3968
2016-02-11,1.3930
2016-02-12,1.3835
2016-02-15,
2016-02-16,1.3860
2016-02-17,1.3684
2016-02-18,1.3721
2016-02-19,1.3801
2016-02-22,1.3685
2016-02-23,1.3792
2016-02-24,1.3766
2016-02-25,1.3575
2016-02-26,1.3547
2016-02-29,1.3523
2016-03-01,1.3407
2016-03-02,1.3468
2016-03-03,1.3407
2016-03-04,1.3337
2016-03-07,1.3301
2016-03-08,1.3389
2016-03-09,1.3236
2016-03-10,1.3373
2016-03-11,1.3215
2016-03-14,1.3293
2016-03-15,1.3359
2016-03-16,1.3362
2016-03-17,1.2984
2016-03-18,1.2982
2016-03-21,1.3069
2016-03-22,1.3051
2016-03-23,1.3203
2016-03-24,1.3269
2016-03-25,
2016-03-28,1.3184
2016-03-29,1.3154
2016-03-30,1.2962
2016-03-31,1.2971
2016-04-01,1.3047
2016-04-04,1.3036
2016-04-05,1.3170
2016-04-06,1.3077
2016-04-07,1.3163
2016-04-08,1.2995
2016-04-11,1.2913
2016-04-12,1.2799
2016-04-13,1.2792
2016-04-14,1.2836
2016-04-15,1.2858
2016-04-18,1.2815
2016-04-19,1.2656
2016-04-20,1.2627
2016-04-21,1.2710
2016-04-22,1.2674
2016-04-25,1.2680
2016-04-26,1.2614
2016-04-27,1.2635
2016-04-28,1.2544
2016-04-29,1.2549
2016-05-02,1.2548
2016-05-03,1.2686
2016-05-04,1.2884
2016-05-05,1.2853
2016-05-06,1.2921
2016-05-09,1.2994
2016-05-10,1.2959
2016-05-11,1.2836
2016-05-12,1.2858
2016-05-13,1.2940
2016-05-16,1.2887
2016-05-17,1.2885
2016-05-18,1.2928
2016-05-19,1.3116
2016-05-20,1.3136
2016-05-23,
2016-05-24,1.3118
2016-05-25,1.3090
2016-05-26,1.2981
2016-05-27,1.3003
2016-05-30,1.3061
2016-05-31,1.3100
2016-06-01,1.3091
2016-06-02,1.3080
2016-06-03,1.2948
2016-06-06,1.2856
2016-06-07,1.2789
2016-06-08,1.2695
2016-06-09,1.2731
2016-06-10,1.2736
2016-06-13,1.2792
2016-06-14,1.2835
2016-06-15,1.2914
2016-06-16,1.3041
2016-06-17,1.2878
2016-06-20,1.2807
2016-06-21,1.2818
2016-06-22,1.2820
2016-06-23,1.2752
2016-06-24,1.2952
2016-06-27,1.3078
2016-06-28,1.3090
2016-06-29,1.2991
2016-06-30,1.3009
2016-07-01,
2016-07-04,1.2844
2016-07-05,1.2949
2016-07-06,1.3005
2016-07-07,1.2984
2016-07-08,1.3073
2016-07-11,1.3127
2016-07-12,1.3016
2016-07-13,1.2965
2016-07-14,1.2915
2016-07-15,1.2975
2016-07-18,1.2984
2016-07-19,1.3029
2016-07-20,1.3040
2016-07-21,1.3057
2016-07-22,1.3178
2016-07-25,1.3225
