TERMS AND CONDITIONS
http://www.bankofcanada.ca/terms/

SERIES
id,label,description
FXUSDCAD,"USD/CAD","US dollar to Canadian dollar daily exchange rate"

OBSERVATIONS
date,IEXE0101
2018-01-02,1.2517
2018-01-03,1.2533
2018-01-04,1.2515
2018-01-05,1.2403
2018-01-08,1.2422
2018-01-09,1.2454
2018-01-10,1.2496
2018-01-11,1.2535
2018-01-12,1.2504
2018-01-15,1.2422
2018-01-16,1.2419
2018-01-17,1.2425
2018-01-18,1.2446
2018-01-19,1.2459
2018-01-22,1.2458
2018-01-23,1.2454
2018-01-24,1.2341
2018-01-25,1.2323
2018-01-26,1.2321
2018-01-29,1.2335
2018-01-30,1.2328
2018-01-31,1.2293
2018-02-01,1.2288
2018-02-02,1.2380
2018-02-05,1.2483
2018-02-06,1.2530
2018-02-07,1.2546
2018-02-08,1.2585
2018-02-09,1.2609
2018-02-12,1.2603
2018-02-13,1.2600
2018-02-14,1.2562
2018-02-15,1.2507
2018-02-16,1.2540
2018-02-20,1.2622
2018-02-21,1.2671
2018-02-22,1.2709
2018-02-23,1.2668
2018-02-26,1.2686
2018-02-27,1.2740
2018-02-28,1.2809
2018-03-01,1.2851
2018-03-02,1.2891
2018-03-05,1.2977
2018-03-06,1.2898
2018-03-07,1.2947
2018-03-08,1.2927
2018-03-09,1.2840
2018-03-12,1.2830
2018-03-13,1.2912
2018-03-14,1.2944
2018-03-15,1.3032

